dish_code,name,slug,region_code,province_code,destination_code,category,meal_type,is_produce,season_start,season_end,desc_short,image_path,is_active
AF-KBL-PUL,Qabuli Palaw,kabuli-palaw,CENTRAL,KBL,KBLC,Main,Dinner,0,1,12,Afghanistan's national rice dish with lamb carrots and raisins.,/assets/images/food/dishes/kabuli-palaw/hero.webp,TRUE
AF-KBL-MAN,Mantu,mantu,CENTRAL,KBL,KBLC,Main,Lunch,0,1,12,Steamed dumplings filled with meat and topped with yogurt and lentils.,/assets/images/food/dishes/mantu/hero.webp,TRUE
AF-KBL-ASH,Ashak,ashak,CENTRAL,KBL,KBLC,Main,Lunch,0,1,12,Dumplings filled with leeks and topped with yogurt and meat sauce.,/assets/images/food/dishes/aushak/hero.webp,TRUE
AF-KBL-BOL,Bolani,bolani,CENTRAL,KBL,KBLC,Street Food,Snack,0,1,12,Stuffed flatbread filled with potato pumpkin or leeks.,/assets/images/food/dishes/bolani/hero.webp,TRUE
AF-NGH-CHK,Chapli Kabob,chapli-kabob,EAST,NGH,JBDC,Main,Lunch,0,1,12,Famous eastern Afghan chapli kabob traditionally enjoyed in Jalalabad including at Adam Khan Restaurant.,/assets/images/food/dishes/chapli-kabob/hero.webp,TRUE
AF-KBL-SHO,Shola,shola,CENTRAL,KBL,KBLC,Main,Dinner,0,1,12,Traditional rice and lentil dish slow cooked with spices.,/assets/images/placeholders/default-food.webp,TRUE
AF-KBL-QGS,Qorma-e Gosht,qorma-e-gosht,CENTRAL,KBL,KBLC,Main,Dinner,0,1,12,Traditional Afghan meat stew served with rice.,/assets/images/placeholders/default-food.webp,TRUE
AF-KBL-QSB,Qorma-e Sabzi,qorma-e-sabzi,CENTRAL,KBL,KBLC,Main,Dinner,0,1,12,Spinach and herb stew served with rice.,/assets/images/placeholders/default-food.webp,TRUE
AF-KBL-KEB,Seekh Kabob,seekh-kabob,CENTRAL,KBL,KBLC,Main,Dinner,0,1,12,Charcoal grilled skewers of seasoned meat.,/assets/images/food/dishes/kabob/hero.webp,TRUE
AF-KBL-LAN,Landi,landi,CENTRAL,KBL,KBLC,Traditional,Dinner,0,11,2,Traditional dried meat prepared during winter.,/assets/images/placeholders/default-food.webp,TRUE
AF-KBL-FIR,Firni,firni-pudding,CENTRAL,KBL,KBLC,Dessert,Dessert,0,1,12,Creamy milk pudding flavored with cardamom.,/assets/images/food/dishes/firni/hero.webp,TRUE
AF-KDR-SPR,Sheer Pira,sheer-pira,SOUTH,KDR,KDRC,Dessert,Dessert,0,1,12,Milk fudge flavored with cardamom.,/assets/images/food/dishes/sheer-pira/hero.webp,TRUE
AF-HER-GEF,Gosh e Fil,gosh-e-fil,WEST,HER,HERC,Dessert,Dessert,0,1,12,Fried elephant ear pastry served with sugar.,/assets/images/food/dishes/gosh-e-fil/hero.webp,TRUE
AF-HER-CHA,Saffron Tea,saffron-tea,WEST,HER,HERC,Beverage,Tea,0,1,12,Tea infused with Herat saffron strands.,/assets/images/food/drinks/saffron-tea/hero.webp,TRUE
