tour_code,tour_slug,day_number,title,location,overnight_hub,description,attraction_codes,food_culture,provinces_traversed,is_active,sort_order
WKND,weekend-in-kabul,1,"Arrival, old Kabul markets, and garden sunset",Kabul,kabul-city,"Airport pickup, hotel check-in, and a soft first afternoon focused on Kabul’s historic market streets. The day is paced gently so guests can recover from arrival while still seeing Murad Khane, the bird market, Chicken Street, and Babur’s Gardens if timing allows.",KBL-013|KBL-015|KBL-007|KBL-003,kabob,Kabul,1,1
WKND,weekend-in-kabul,2,"Museum, Darulaman, shrines, and Kabul viewpoints",Kabul,kabul-city,"A full Kabul touring day connecting national history, restored architecture, religious landmarks, and city viewpoints. The route can be adjusted around traffic, prayer times, and photography sensitivity.",KBL-002|KBL-001|KBL-005|KBL-009,qabuli-palaw,Kabul,1,2
WKND,weekend-in-kabul,3,Paghman or Qargha morning and departure,Kabul / Paghman,kabul-city,"A short final morning outside the dense city center, usually Qargha Lake or Paghman depending on flight time, followed by airport transfer.",KBL-008|KBL-012,green-tea,Kabul,1,3
KBLS,kabul-surroundings,1,Arrival and Kabul old-city orientation,Kabul,kabul-city,"Arrival support and an introductory walk through Kabul’s older commercial lanes, useful for guests who want context before moving into surrounding valleys.",KBL-013|KBL-015|KBL-007,kabob,Kabul,1,1
KBLS,kabul-surroundings,2,Core Kabul heritage circuit,Kabul,kabul-city,"A focused day on Kabul’s major heritage sites: the National Museum, Darulaman Palace, Babur’s Gardens, and selected religious or viewpoint stops based on access.",KBL-002|KBL-001|KBL-003|KBL-005|KBL-009,qabuli-palaw,Kabul,1,2
KBLS,kabul-surroundings,3,Panjshir day excursion,Kabul / Panjshir,kabul-city,"Early departure north through Parwan toward Panjshir, with valley stops, Massoud Mausoleum, and time along the river corridor before returning to Kabul.",PRW-002|PJR-001|PJR-002,green-tea,Kabul;Parwan;Panjshir,1,3
KBLS,kabul-surroundings,4,Jalalabad corridor or Nangarhar day route,Kabul / Nangarhar,kabul-city,"A route-dependent eastern day toward Darunta Lake and Jalalabad-area cultural sites when access and timing are suitable. If conditions are weak, the day remains in Kabul.",NGH-001|NGH-002|NGH-003,sambosa,Kabul;Nangarhar,1,4
KBLS,kabul-surroundings,5,"Paghman, Qargha, and west Kabul",Kabul / Paghman,kabul-city,"A relaxed day combining lakeside scenery, Paghman landmarks, and west Kabul neighborhoods. This day also provides flexibility if an earlier day was delayed.",KBL-008|KBL-012|KBL-006,bolani,Kabul,1,5
KBLS,kabul-surroundings,6,Departure support,Kabul,kabul-city,"Hotel check-out, final shopping or tea stop if time allows, and airport transfer.",,green-tea,Kabul,1,6
BSKI,bamyan-skiing-tour,1,"Arrival, winter briefing, and gear check",Kabul,kabul-city,"Airport pickup, hotel check-in, winter road briefing, clothing and equipment review, and confirmation of the next morning’s Kabul–Bamyan movement based on weather and road status.",KBL-003|KBL-007,kabob,Kabul,1,1
