hotel_id,hotel_slug,hotel_name,display_name,subtitle,destination_code,hub_name,tier,star_rating,price_range,facilities,best_for,description,hero_image,gallery_folder,is_active
htk,taj_kabul,Taj Hotel,Taj Hotel,,KBLC,Kabul,premium,5,$$$,"Pool|Restaurant|Secure Access|Suites|On-site Dining","Private Travelers|Business Travelers|Premium Tours","A premium city-center hotel offering elegant suites with modern Afghan decor and high-security standards.",/assets/images/hotels/kabul/taj/hero.webp,/assets/images/hotels/kabul/taj/,1
hsk,kabul_star,Kabul Star Hotel,Kabul Star Hotel,,KBLC,Kabul,premium,4,$$$,"Outdoor Pool|Wellness Center|Restaurant|Wi-Fi","Business Travelers|Private Travelers","Modern 4-star hotel featuring an outdoor pool and wellness center in the heart of Kabul.",/assets/images/hotels/kabul/kabul-star/hero.webp,/assets/images/hotels/kabul/kabul-star/,1
hgk,kabul_grand,Kabul Grand Hotel (Serena Hotel),Kabul Grand Hotel,Formerly Serena Hotel,KBLC,Kabul,luxury,5,$$$$,"Pool|Spa|Gardens|Restaurant|Cafe|Conference Facilities|Secure Access","Diplomatic Visitors|Business Travelers|Luxury Travelers|Premium Tours","The pinnacle of luxury in Kabul featuring suites, gardens, an outdoor pool, restaurant, cafe, and premium facilities in the heart of the city.",/assets/images/hotels/kabul/kabul-grand/hero.webp,/assets/images/hotels/kabul/kabul-grand/,1
hik,intercon_kabul,Kabul Intercontinental Hotel,Kabul Intercontinental Hotel,,KBLC,Kabul,luxury,4,$$$,"Restaurant|Panoramic Views|Secure Access|Conference Facilities","Business Travelers|Premium Tours|Private Travelers","Historic hilltop hotel offering panoramic views and classic international hospitality.",/assets/images/hotels/kabul/intercontinental/hero.webp,/assets/images/hotels/kabul/intercontinental/,1
hpk,park_star,Park Star Hotel,Park Star Hotel,,KBLC,Kabul,standard,3,$$,"Fitness Facilities|Restaurant|Central Location|Wi-Fi","Standard Tours|Business Travelers","A reliable standard hotel with fitness facilities and easy access to Kabul's business district.",/assets/images/hotels/kabul/park-star/hero.webp,/assets/images/hotels/kabul/park-star/,1
hkk,khyber_kabul,Khyber Hotel,Khyber Hotel,,KBLC,Kabul,budget,3,$,"Basic Rooms|Central Location|Restaurant","Budget Travelers|Simple Overnight Stays","Budget-friendly accommodation offering basic amenities and central location.",/assets/images/hotels/kabul/khyber/hero.webp,/assets/images/hotels/kabul/khyber/,1
hah,arg_herat,Arg Hotel,Arg Hotel,,HERC,Herat,premium,4,$$$,"Fitness Center|Restaurant|Mountain Views|Modern Rooms","Business Travelers|Premium Tours","Premium hotel in Herat featuring a fitness center and rooms with mountain views.",/assets/images/hotels/herat/arg/hero.webp,/assets/images/hotels/herat/arg/,1
hsh,sadaf_herat,Sadaf Hotel,Sadaf Hotel,,HERC,Herat,standard,3,$$,"Air Conditioning|On-site Dining|Wi-Fi","Standard Tours|Private Travelers","Reliable 3-star service with air-conditioned rooms and on-site dining.",/assets/images/hotels/herat/sadaf/hero.webp,/assets/images/hotels/herat/sadaf/,1
hgb,gholghola,Gholghola Hotel,Gholghola Hotel,,BMYC,Bamyan,standard,3,$$,"Valley Views|Restaurant|Heated Rooms|Local Hospitality","Cultural Tours|Bamyan Trips|Winter Travelers","A reliable Bamyan hotel with suites and strong views of the Bamyan valley.",/assets/images/hotels/bamyan/gholghola/hero.webp,/assets/images/hotels/bamyan/gholghola/,1
hsj,spinghar-jbad,Spinghar Hotel,Spinghar Hotel,,JBDC,Jalalabad,standard,2,$$,"Garden|Classic Rooms|Restaurant","Eastern Afghanistan Routes|Simple Stays","A historic Jalalabad landmark offering classic rooms and lush garden surroundings.",/assets/images/hotels/jalalabad/spinghar/hero.webp,/assets/images/hotels/jalalabad/spinghar/,1
hbm,barat_mazar,Barat Hotel,Barat Hotel,,MAZC,Mazar-e-Sharif,standard,3,$$,"Central Location|Restaurant|Standard Rooms","Northern Tours|Cultural Travelers","Centrally located in Mazar-e-Sharif near the Blue Mosque.",/assets/images/hotels/mazar/barat/hero.webp,/assets/images/hotels/mazar/barat/,1
hgm,ghazanfar_mazar,Ghazanfar Hotel,Ghazanfar Hotel,,MAZC,Mazar-e-Sharif,premium,3,$$$,"Fitness Center|Conference Facilities|Modern Rooms","Business Travelers|Premium Northern Tours","Business-oriented hotel with a fitness center and modern conference facilities.",/assets/images/hotels/mazar/ghazanfar/hero.webp,/assets/images/hotels/mazar/ghazanfar/,1
hkm,kefayat_mazar,Kefayat Hotel,Kefayat Hotel,,MAZC,Mazar-e-Sharif,standard,3,$$,"Family Rooms|Private Balconies|24-hour Security","Families|Standard Tours","Offers family-friendly accommodations with private balconies and 24-hour security.",/assets/images/hotels/mazar/kefayat/hero.webp,/assets/images/hotels/mazar/kefayat/,1
hrk,royal_kandahar,Royal Hotel,Royal Hotel,,KDRC,Kandahar,premium,3,$$$,"Suites|Restaurant|City Access","Private Travelers|Kandahar Tours","A reliable hotel with easy access to Kandahar city.",/assets/images/hotels/kandahar/royal/hero.webp,/assets/images/hotels/kandahar/royal/,1
