attraction_code,name,province_code,base_location_code,visit_time_minutes,trip_classification,activity_level,is_active,notes,needs_manual_review
BDK-001,Badakhshan Mountains & Lakes,BDK,FAIC,1440,Adventure,5,1,,TRUE
BDK-002,The Wakhan Corridor,BDK,FAIC,2880,Expedition,5,1,,TRUE
BDK-003,Mount Noshaq,BDK,FAIC,4320,Expedition,5,1,,TRUE
BDG-001,Badghis Hills & Nomadic Pastures,BDG,HERC,480,Adventure,4,1,,TRUE
BAG-001,Surkh Kotal,BAG,KBLC,90,Adventure,3,1,,FALSE
BAL-001,Shrine of Hazrat Ali (Blue Mosque),BAL,MAZC,60,Tour,1,1,,FALSE
BAL-002,Ancient City of Balkh,BAL,MAZC,120,Tour,2,1,,FALSE
BAL-003,Tomb of Rabia Balkhi,BAL,MAZC,30,Tour,1,1,,FALSE
BAL-004,Haji Piyada (Nine Domes) Mosque,BAL,MAZC,60,Tour,1,1,,FALSE
BAL-005,Rumi's Father's House (Madrasa),BAL,MAZC,45,Tour,1,1,,FALSE
BAL-006,Qala-i-Jangi Fortress,BAL,MAZC,60,Tour,1,1,,FALSE
BMY-001,Buddha Niches of Bamyan,BMY,BMYC,90,Tour,2,1,,FALSE
BMY-002,Shahr-e-Gholghola,BMY,BMYC,60,Tour,1,1,,FALSE
BMY-003,Shahr-e-Zohak,BMY,BMYC,60,Tour,1,1,,FALSE
BMY-004,Band-e-Amir National Park,BMY,BMYC,240,Tour,2,1,,FALSE
BMY-005,Koh-e-Baba Mountain Range,BMY,BMYC,120,Adventure,3,1,,FALSE
BMY-006,Dragon Valley,BMY,BMYC,90,Tour,3,1,,FALSE
BMY-007,Chehel Burj Bamyan Ruins,BMY,BMYC,90,Tour,3,1,,FALSE
DYK-001,Daykundi Highlands,DYK,BMYC,1440,Expedition,4,1,,TRUE
FRH-001,Farah Citadel,FRH,HERC,60,Adventure,3,1,,FALSE
FRY-001,Faryab Cultural Villages,FRY,MAZC,60,Expedition,4,1,,TRUE
GHZ-001,Ghazni Minarets,GHZ,GHZC,45,Tour,1,1,,FALSE
GHZ-002,Bala Hisar of Ghazni,GHZ,GHZC,90,Tour,2,1,,FALSE
GHZ-003,Tomb of Sultan Mahmud,GHZ,GHZC,45,Tour,1,1,,FALSE
GHZ-004,Tapa Sardar,GHZ,GHZC,60,Tour,1,1,,FALSE
GHZ-005,Palace of Sultan Mas'ud III,GHZ,GHZC,60,Tour,1,1,,FALSE
GHO-001,Minaret of Jam,GHO,HERC,90,Expedition,4,1,,TRUE
GHO-002,Rural Ghor Highlands,GHO,HERC,60,Expedition,4,1,,TRUE
HLM-001,Helmand River Landscape,HLM,KDRC,90,Tour,2,1,,FALSE
HLM-002,Qala-e-Bost Arch,HLM,KDRC,90,Tour,2,1,,FALSE
HER-001,Herat Old City & Bazaars,HER,HERC,120,Tour,2,1,,FALSE
HER-002,Herat Citadel,HER,HERC,90,Tour,2,1,,FALSE
HER-003,Herat Friday Mosque,HER,HERC,60,Tour,1,1,,FALSE
HER-004,Herat Minarets,HER,HERC,60,Tour,1,1,,FALSE
JOW-001,Tala Tepe,JOW,MAZC,60,Tour,1,1,,FALSE
KBL-001,Darulaman Palace,KBL,KBLC,60,Tour,1,1,,FALSE
KBL-002,Kabul National Museum,KBL,KBLC,75,Tour,2,1,,FALSE
KBL-003,Babur's Gardens,KBL,KBLC,75,Tour,2,1,,FALSE
