transport_id,transport_name,transport_slug,tier,vehicle_type,min_pax,max_pax_per_vehicle,requires_multi_allocation,route_restriction_id,seasonal_only,is_active,hero_image,gallery_folder,logic_notes
GT-TAXI-BUD,Taxi (Budget),taxi,budget,taxi,1,3,1,ALL_LOCATIONS,0,1,/assets/images/transport/budget/taxi/hero.webp,/assets/images/transport/vehicles/budget/taxi/,"If guest count exceeds 3, automatically allocate multiple vehicles: ceil(guests/3)."
GT-VAN-OLD-BUD,Older Van (Budget),van-old,budget,van,1,6,1,ALL_EXCEPT_NURISTAN,0,1,/assets/images/transport/budget/van-old/hero.webp,/assets/images/transport/vehicles/budget/van/,"Budget passenger van. Broad access across regions, excluding Nuristan rugged terrain."
GT-BUS-BUD,Bus (Budget),bus,budget,bus,10,50,0,MAIN_CORRIDOR_ONLY,0,1,/assets/images/transport/budget/bus/hero.webp,/assets/images/transport/vehicles/budget/bus/,"High-capacity bus for larger groups. Best suited for paved intercity highway routes and major city transfers."
GT-SED-STD,Sedan (Standard),sedan,standard,sedan,1,3,1,ALL_EXCEPT_NURISTAN,0,1,/assets/images/transport/standard/sedan/hero.webp,/assets/images/transport/vehicles/standard/sedan/,"Standard private sedan for urban transfers and paved intercity travel. Excludes rugged expedition routes."
GT-VAN-STD,Van (Standard),van,standard,van,1,6,1,ALL_EXCEPT_NURISTAN,0,1,/assets/images/transport/roads/kabul-parwan-bamyan/03.webp,/assets/images/transport/vehicles/standard/van/,"Standard private passenger van. Reliable mid-tier group transport across most regular routes, excluding Nuristan."
GT-SUV-OLD-STD,SUV (Standard / Older Model),suv-old,standard,suv,1,3,1,ALL_EXCEPT_NURISTAN,0,1,/assets/images/transport/premium/suv/01.webp,/assets/images/transport/vehicles/standard/suv/,"Older model SUV suitable for mixed road conditions and most mountain routes, excluding the roughest expedition terrain."
GT-HIACE-STD,Toyota HiAce (Standard),hiace,standard,hiace,4,9,1,ALL_EXCEPT_NURISTAN,0,1,/assets/images/transport/roads/kabul-parwan-bamyan/03.webp,/assets/images/transport/vehicles/standard/van/,"Most commonly used medium-group tourism vehicle in Afghanistan. Suitable for city transfers and regular intercity routes."
GT-SUV-NEW-PRM,4x4 SUV (Premium / Newer Model),suv-4x4,premium,suv_4x4,1,3,1,ALL_LOCATIONS,0,1,/assets/images/transport/premium/suv/hero.webp,/assets/images/transport/vehicles/premium/suv/,"Late-model premium 4x4 vehicle suitable for all destinations and expedition routes offered by AfghanTours."
GT-VAN-NEW-PRM,Newer Van (Premium),van-new,premium,van_new,1,6,1,MAIN_CORRIDOR_ONLY,0,1,/assets/images/transport/premium/van/hero.webp,/assets/images/transport/vehicles/premium/van/,"Late-model executive passenger van. Best suited for city transfers, airport movement, and main paved highway routes."
GT-HIACE-PRM,Toyota HiAce (Premium),hiace-premium,premium,hiace_premium,4,9,1,MAIN_CORRIDOR_ONLY,0,1,/assets/images/transport/premium/van/hero.webp,/assets/images/transport/vehicles/premium/van/,"Late-model executive HiAce with upgraded seating, air conditioning, and luggage capacity."
GT-LC200-PRM,Toyota Land Cruiser 200,land-cruiser-200,premium,land_cruiser,1,4,1,ALL_LOCATIONS,0,1,/assets/images/transport/premium/suv/hero.webp,/assets/images/transport/vehicles/premium/suv/,"Premium Land Cruiser suitable for Afghan road conditions, mountain routes, and expedition-style travel."
GT-ARMORED,Armored Vehicle (Luxury),armored-vehicle,luxury,armored_suv,1,3,1,OPERATIONAL_REVIEW_REQUIRED,1,1,/assets/images/transport/luxury/armored-suv/01.webp,/assets/images/transport/vehicles/luxury/armored-suv/,"Premium ballistic armored transport available on approved routes subject to seasonal conditions, vehicle availability, and operational review."
