experience_code,name,slug,hub_slug,route_context,venue_name,venue_type,venue_status,signature_food,related_food_slugs,subtitle,card_description,duration,best_season,provinces,is_active,sort_order
CUL-JAL-ADK,Adam Khan Chapli Kabob,adam-khan-chapli-kabob,jalalabad-city,in-hub,Adam Khan Chapli Kabob,restaurant,operator-provided,Chapli Kabob,chapli-kabob,"Eastern Afghanistan’s famous chapli kabob culture, best paired with fresh sugar cane juice.","Adam Khan in Jalalabad is known for larger-than-life chapli kabob patties prepared in front of guests.",1–2 hours,Year round,Nangarhar,1,10
CUL-JAL-KTR,Kunar Trout,kunar-trout,jalalabad-city,day-trip,,roadside-stop,needs exact venue,Fresh trout,kunar-trout,"Fresh river fish, mountain water, roadside grills, and the scenery of eastern Afghanistan.","Pair Kunar’s river valleys with grilled trout, tandoor naan, and one of Afghanistan’s most scenic food experiences.",1–2 hours,Spring–autumn,Kunar,1,20
CUL-KDR-ROS,Kandahari Rosh,kandahari-rosh,kandahar-city,in-hub,,restaurant,needs exact venue,Rosh,kandahar-rosht,"Slow-cooked Kandahari rosh as a southern hospitality experience.","Taste Kandahar’s slow-cooked lamb tradition as part of a southern Afghanistan journey.",1–2 hours,Year round,Kandahar,1,30
CUL-KBL-DOG,Chashma-e-Dogh,chashma-e-dogh,kabul-city,near-hub,,food-stop,market/non-restaurant,Dogh,dogh,"A beloved Kabul gathering place built around chilled dogh, families, pilgrims, and local life.","Visit Chashma-e-Dogh for dogh, local snacks, family atmosphere, and a natural pairing with Istalif or western Kabul routes.",1–2 hours,Spring–autumn,Kabul,1,40
CUL-KBL-CHA,Traditional Chainaki in Kabul,kabul-chainaki,kabul-city,in-hub,,restaurant,needs exact venue,Chainaki,,"Teapot-stew hospitality and everyday Kabul dining culture.","Experience chainaki — meat slow-cooked in a teapot — as a classic Kabul comfort-food tradition.",1–2 hours,Year round,Kabul,1,50
CUL-KBL-AZZ,Aziz Bakery,aziz-bakery,kabul-city,in-hub,Aziz Bakery,bakery,operator-provided,Sweets / bakery,,"Cakes, cookies, crème rolls, and Kabul celebration sweets in the heart of Chicken Street.","Stop at Aziz Bakery for Afghan cakes, cookies, crème rolls, and the sweets that families carry to visits and celebrations.",30–60 minutes,Year round,Kabul,1,60
CUL-BMY-KAB,Bamyan Kabob,bamyan-kabob,bamyan-city,in-hub,,restaurant,needs exact venue,Kabob,,"Highland kabob culture in Bamyan’s mountain setting.","Share kabob, bread, and highland hospitality as part of a Bamyan stay.",1–2 hours,Spring–autumn,Bamyan,1,70
CUL-BMY-QRT,Band-e-Amir Dairy Market & Quroot,band-e-amir-quroot-dairy,bamyan-city,excursion,,market,market/non-restaurant,"Quroot, dairy",qurut-markets-of-bamyan,"Roadside dairy markets between Bamyan and Band-e-Amir, famous for dried yogurt.","Stop along the Bamyan–Band-e-Amir road for quroot, local dairy, highland humor, and a taste visitors never forget.",15–30 minutes,Spring–autumn,Bamyan,1,80
CUL-HRT-ARG,Arg Restaurant — Herat,arg-restaurant-herat,herat-city,in-hub,Arg Restaurant,restaurant,operator-provided,Herati cuisine,,"A grand Herat dining experience after the citadel, bazaars, glass workshops, and saffron tea.","End a Herat day with a memorable Afghan feast at Arg Restaurant, one of the city’s strongest hospitality experiences.",1–2 hours,Year round,Herat,1,90
CUL-GHZ-PLW,Ghazni Palaw,ghazni-palaw,ghazni-city,in-hub,,restaurant,needs exact venue,Palaw,kabuli-pulao,"Palaw hospitality in historic Ghazni.","Taste rice hospitality and shared-table dining as part of a Ghazni stop.",1–2 hours,Year round,Ghazni,1,100
CUL-MZR-MAN,Mansoor Kabob,mansoor-kabob,mazar-e-sharif,near-hub,Mansoor Kabob,restaurant,operator-provided,Kabob,,"Northern kabob hospitality linked to the Mazar–Balkh travel corridor.","A northern kabob stop travelers use when exploring Mazar-e-Sharif and the Balkh corridor.",1–2 hours,Year round,Balkh,1,110
