tour_code,name,slug,summary,image_folder_path,price_from,duration_days,min_group_size,max_group_size,group_size_display,travel_style,activity_level,regions,provinces,primary_location_slug,accommodation_note,transport_note,season,is_featured,is_active,tour_type,hero_image_path,overview_image_path,thumbnail_image_path,is_bookable
PHOT,Photography Tour,photography-tour,"The Photography Tour is designed for travelers who want to capture Afghanistan's landscapes, architecture, and people.",/assets/images/custom-tours/photography-tour/,2850,12,2,8,Private or 2-8 travelers,Custom,Leisurely,West;Central;North;East;South,Badakhshan;Badghis;Baghlan;Balkh;Bamyan;Daykundi;Farah;Faryab;Ghazni;Ghor;Helmand;Herat;Jowzjan;Kabul;Kandahar;Kapisa;Khost;Kunar;Kunduz;Laghman;Logar;Nangarhar;Nimroz;Nuristan;Paktia;Paktika;Panjshir;Parwan;Samangan;Sar-e-Pol;Takhar;Uruzgan;Wardak;Zabul,kabul-city,"Best available local hotels, clean and well-located.",Domestic flights and 4WD vehicles,Year-round,0,1,custom,/assets/images/custom-tours/photography-tour/hero.webp,/assets/images/custom-tours/photography-tour/overview.webp,/assets/images/custom-tours/photography-tour/thumbnail.webp,1
SCIE,Scientific Expeditions,scientific-expeditions,"Custom field logistics for researchers, academics, scientific teams, and documentary projects requiring locally coordinated work in Afghanistan.",/assets/images/custom-tours/scientific-expeditions/,4500,14,2,8,Private or 2-8 travelers,Custom,Intermediate,West;Central;North;East;South,Badakhshan;Badghis;Baghlan;Balkh;Bamyan;Daykundi;Farah;Faryab;Ghazni;Ghor;Helmand;Herat;Jowzjan;Kabul;Kandahar;Kapisa;Khost;Kunar;Kunduz;Laghman;Logar;Nangarhar;Nimroz;Nuristan;Paktia;Paktika;Panjshir;Parwan;Samangan;Sar-e-Pol;Takhar;Uruzgan;Wardak;Zabul,kabul-city,"Best available local hotels, clean and well-located.",Domestic flights and 4WD vehicles,Year-round,0,1,custom,/assets/images/custom-tours/scientific-expeditions/hero.webp,/assets/images/custom-tours/scientific-expeditions/overview.webp,/assets/images/custom-tours/scientific-expeditions/thumbnail.webp,1
NOSHAQ,Noshaq Expedition Support,noshaq-expedition-support,"High-altitude expedition logistics for teams attempting Mount Noshaq, with Kabul and Badakhshan coordination, approach transport, camp support, and flexible mountain scheduling.",/assets/images/custom-tours/noshaq-expedition-support/,2000,21,1,8,Private or 2-8 travelers,Custom,Advanced,North,Badakhshan;Balkh;Kunduz;Kabul,faizabad-city,"3-star and 4-star hotels in central Kabul, Mazar-e-Sharif and Faizabad. While in the Wakhan camping tents.",Flight Kabul-Faizabad; 4WD to Ishkashim then horses/hiking,Jun-Aug,0,1,custom,/assets/images/custom-tours/noshaq-expedition-support/hero.webp,/assets/images/custom-tours/noshaq-expedition-support/thumbnail.webp,/assets/images/custom-tours/noshaq-expedition-support/thumbnail.webp,1
MEDIA,Media Support,media-support,"Field logistics and local coordination for journalists, broadcasters, photographers, documentary teams, and production crews working in Afghanistan.",/assets/images/custom-tours/media-support/,Inquire,Inquire,Inquire,Inquire,Private or 2-8 travelers,Custom,Custom,West;Central;North;East;South,Badakhshan;Badghis;Baghlan;Balkh;Bamyan;Daykundi;Farah;Faryab;Ghazni;Ghor;Helmand;Herat;Jowzjan;Kabul;Kandahar;Kapisa;Khost;Kunar;Kunduz;Laghman;Logar;Nangarhar;Nimroz;Nuristan;Paktia;Paktika;Panjshir;Parwan;Samangan;Sar-e-Pol;Takhar;Uruzgan;Wardak;Zabul,kabul-city,"Best available local hotels, clean and well-located.",Domestic flights and 4WD vehicles,Year-round,0,1,custom,/assets/images/custom-tours/media-support/hero.webp,/assets/images/custom-tours/media-support/thumbnail.webp,/assets/images/custom-tours/media-support/thumbnail.webp,1
SKI,Ski Expeditions,ski-expeditions,"Custom winter and backcountry ski expeditions in Afghanistan, planned around snow conditions, terrain, group ability, transport, and local mountain logistics.",/assets/images/custom-tours/ski-expeditions/,Inquire,Inquire,Inquire,Inquire,Private or 2-8 travelers,Custom,Intermediate,Central;North;East,Badakhshan;Bamyan;Kabul;Nuristan;Panjshir;Parwan;Takhar;Wardak,kabul-city,"Best available local hotels, clean and well-located.",Domestic flights and 4WD vehicles,Winter / snow-dependent,0,1,custom,/assets/images/custom-tours/ski-expeditions/hero.webp,/assets/images/custom-tours/ski-expeditions/thumbnail.webp,/assets/images/custom-tours/ski-expeditions/thumbnail.webp,1
BIZ,Business & Investment,business-investment,"Private planning and ground coordination for business travelers, investors, delegations, and organizations arranging meetings, site visits, and commercial travel in Afghanistan.",/assets/images/custom-tours/business-investment/,Inquire,Inquire,Inquire,Inquire,Private or 2-8 travelers,Custom,Custom,West;Central;North;East;South,Badakhshan;Badghis;Baghlan;Balkh;Bamyan;Daykundi;Farah;Faryab;Ghazni;Ghor;Helmand;Herat;Jowzjan;Kabul;Kandahar;Kapisa;Khost;Kunar;Kunduz;Laghman;Logar;Nangarhar;Nimroz;Nuristan;Paktia;Paktika;Panjshir;Parwan;Samangan;Sar-e-Pol;Takhar;Uruzgan;Wardak;Zabul,kabul-city,"Best available local hotels, clean and well-located.",Domestic flights and 4WD vehicles,Year-round,0,1,custom,/assets/images/custom-tours/business-investment/hero.webp,/assets/images/custom-tours/business-investment/thumbnail.webp,/assets/images/custom-tours/business-investment/thumbnail.webp,1
VET,Veteran Return,veteran-return,"Private, carefully planned return journeys for military veterans who want to revisit places connected to their service and understand present-day Afghanistan.",/assets/images/custom-tours/veteran-return/,Inquire,Inquire,Inquire,Inquire,Private or 2-8 travelers,Custom,Custom,West;Central;North;East;South,Badakhshan;Badghis;Baghlan;Balkh;Bamyan;Daykundi;Farah;Faryab;Ghazni;Ghor;Helmand;Herat;Jowzjan;Kabul;Kandahar;Kapisa;Khost;Kunar;Kunduz;Laghman;Logar;Nangarhar;Nimroz;Nuristan;Paktia;Paktika;Panjshir;Parwan;Samangan;Sar-e-Pol;Takhar;Uruzgan;Wardak;Zabul,kabul-city,"Best available local hotels, clean and well-located.",Domestic flights and 4WD vehicles,Year-round,0,1,custom,/assets/images/custom-tours/veteran-return/hero.webp,/assets/images/custom-tours/veteran-return/thumbnail.webp,/assets/images/custom-tours/veteran-return/thumbnail.webp,1
CTME,Custom Expedition,custom-expedition,"A private, fully bespoke Afghanistan journey built around your dates, interests, preferred regions, pace, and operational requirements.",/assets/images/custom-tours/custom-expedition/,,,1,8,Private journey — group size by request,Bespoke,Route dependent,Afghanistan-wide,,kabul-city,"Accommodation is selected around the final route, location, comfort preference, and available upgrade options.","Transport is selected for the final route and may include private vehicles, 4WDs, or domestic flights.",Year-round; route dependent,0,1,custom,/assets/images/custom-tours/custom-expedition/hero.webp,/assets/images/custom-tours/custom-expedition/overview.webp,/assets/images/custom-tours/custom-expedition/overview.webp,1
CAD,Central Afghanistan Discovery,central-afghanistan-discovery,"Seven days from Kabul into Bamyan and back, with highland roads, the Bamyan valley, and Band-e-Amir when conditions allow.",/assets/images/featured-tours/central-afghanistan-discovery/,1250,7,2,10,Private or 2-6 travelers,Cultural / Scenic,Moderate,Central,Kabul;Bamyan;Parwan,kabul-city,3-star and 4-star hotels in central Kabul and Bamyan,4WD vehicles,Year-round,0,1,featured,/assets/images/featured-tours/central-afghanistan-discovery/hero.webp,/assets/images/featured-tours/central-afghanistan-discovery/overview.webp,/assets/images/featured-tours/central-afghanistan-discovery/thumbnail.webp,1
ADTS,Afghanistan Discovery Tour Spring,afghanistan-discovery-tour-spring,"Witness the dramatic transformation of the Afghan landscape as spring brings lush valleys and blooming orchards to Kabul, Bamyan, and the ancient streets of Herat.",/assets/images/featured-tours/afghanistan-discovery-tour-spring/,1890,9,2,10,Private or 2-8 travelers,Cultural / Scenic,Moderate,West;Central,Kabul;Bamyan;Parwan;Wardak;Herat,kabul-city,"3-star and 4-star hotels in central Kabul, Herat and Bamyan",Domestic flights and 4WD vehicles,Apr-Jun,0,1,featured,/assets/images/featured-tours/afghanistan-discovery-tour-spring/hero.webp,/assets/images/featured-tours/afghanistan-discovery-tour-spring/overview.webp,/assets/images/featured-tours/afghanistan-discovery-tour-spring/thumbnail.webp,1
